"ses_gender","ses_born_canada","vote_intention","vote_probability_to_vote","issue_gst_opposed"
"female",1,"cpc",1,1
"female",1,"lpc",1,0.67
"female",1,NA,1,1
"male",1,"lpc",1,1
"female",1,"cpc",1,0.33
"male",1,"lpc",1,0.67
"male",1,"lpc",1,1
"male",1,NA,1,0.67
"female",1,NA,1,0.67
"female",1,NA,1,1
"male",1,"lpc",1,1
"female",1,"cpc",1,0.33
"female",1,"lpc",1,0.33
"female",1,"lpc",NA,1
"male",1,NA,1,0.33
"female",1,"lpc",1,0.33
"female",1,"cpc",0.67,1
"female",1,"lpc",1,0.33
"female",1,"lpc",0,1
"female",1,NA,0.67,1
"female",1,"cpc",1,1
"female",1,"cpc",1,0.67
"female",1,"lpc",1,0.33
"female",1,"cpc",1,0.33
"female",1,"lpc",1,0.67
"male",1,"cpc",1,1
"male",1,"lpc",1,1
NA,1,"lpc",1,1
"female",1,"lpc",0,1
"female",1,NA,0,0
"male",1,"lpc",1,0.67
"female",1,NA,1,1
"female",1,"lpc",1,1
NA,1,"lpc",1,1
"female",1,"lpc",1,1
"female",1,"cpc",1,1
"female",1,"lpc",1,1
"female",1,"lpc",1,1
"female",1,"ndp",0.67,1
"female",1,NA,1,0.67
"female",1,"lpc",0.67,1
"female",1,"lpc",1,1
"female",1,NA,1,0.33
"female",1,NA,1,1
"female",1,NA,1,0.67
"female",1,"lpc",1,0.67
"male",1,"lpc",1,0
"female",1,"lpc",1,0.33
"male",1,"lpc",1,1
"female",1,"cpc",1,0.67
NA,1,"lpc",1,0.33
"female",1,NA,1,1
"female",1,NA,1,0.33
"male",1,"lpc",1,1
"male",1,NA,0.67,1
"female",1,NA,1,1
"female",1,"lpc",1,1
"male",1,NA,1,0.33
"female",1,"cpc",NA,0.67
"female",1,"lpc",1,0
"female",1,"lpc",0.67,0.67
"female",1,NA,1,0.67
"female",1,"lpc",1,0
NA,1,NA,1,1
"female",1,NA,1,1
"female",1,"lpc",1,0.67
"male",1,NA,1,0.67
"male",1,NA,1,0.33
"female",1,NA,1,1
"male",1,"lpc",1,0.33
"female",1,"lpc",1,1
"male",1,"lpc",0.67,0.67
"female",1,NA,1,0.33
"female",1,"lpc",1,0.33
"male",1,"lpc",1,1
"female",1,"cpc",1,0.67
"female",0,"cpc",0.67,1
"female",1,"ndp",1,1
"male",1,"lpc",1,1
"female",1,"lpc",1,0.33
"female",1,"cpc",1,0.33
"female",1,"lpc",1,1
"male",1,NA,1,0.67
"female",1,"lpc",1,0.33
"female",1,"cpc",1,0.67
"male",1,NA,1,1
"male",1,"lpc",1,0.67
"female",1,"lpc",1,0.67
"female",1,NA,1,1
"female",1,NA,0.67,0.33
"male",1,"cpc",1,1
"female",1,"ndp",1,1
NA,1,"lpc",1,1
NA,1,"lpc",1,0
"male",1,"lpc",1,0.67
"female",1,"cpc",1,0.33
"female",1,"lpc",1,1
"female",1,"cpc",1,0.33
"female",1,NA,1,0.33
NA,1,NA,0.33,1
"female",1,"cpc",0.67,1
"male",1,NA,NA,1
"male",1,NA,1,NA
"female",1,"lpc",1,1
"female",1,"lpc",1,0.67
"female",1,NA,1,1
"female",1,"cpc",1,0.67
"female",1,"lpc",1,1
"male",1,"lpc",1,0.67
"female",1,"cpc",1,0.67
"female",1,"cpc",1,0
"female",1,NA,1,0.33
"female",1,NA,0.67,1
NA,1,"lpc",1,0.33
"male",1,NA,1,1
"female",1,"lpc",1,0.33
NA,1,"lpc",0.67,0.33
"female",1,"cpc",1,0.67
"female",1,"ndp",1,0.67
"male",1,"ndp",1,1
"female",1,"cpc",0.67,1
"female",1,"lpc",1,1
"female",1,"cpc",1,0.33
"female",1,"lpc",1,1
"male",1,NA,NA,1
"male",1,NA,NA,0.33
"female",1,NA,1,0.67
"female",1,NA,0.67,0
"male",1,"lpc",1,0.67
"female",1,NA,0,0
"male",1,"lpc",1,NA
"female",1,"lpc",NA,1
"female",1,NA,0.67,0.33
"male",1,NA,0.67,0.67
"male",1,"lpc",1,1
"male",1,"lpc",1,1
"female",1,"cpc",1,0
"female",1,NA,0,1
"female",1,"lpc",1,0.33
"female",1,NA,1,1
"female",1,"ndp",0,1
"male",1,"lpc",1,1
"female",1,"rpc",1,1
"female",1,"cpc",1,0.67
"female",1,"rpc",1,1
"male",1,NA,1,0.67
"female",1,NA,1,1
"female",1,"lpc",1,0.67
"female",1,"lpc",1,1
"female",1,"cpc",1,0.33
"female",1,"ndp",1,1
"female",1,NA,0.67,0.67
"female",1,"lpc",1,0.67
"female",1,"lpc",1,0.33
"female",1,NA,0.67,0.67
"female",1,"lpc",1,0
"female",1,"lpc",1,1
"female",1,NA,1,0
"male",1,"cpc",NA,1
"female",0,"cpc",1,1
"female",1,"cpc",1,1
"female",1,NA,1,1
"female",1,NA,1,1
"female",1,"ndp",1,1
"female",1,NA,0,NA
"female",1,"ndp",1,1
"female",1,"lpc",1,1
"female",1,"lpc",0.67,1
"female",1,NA,1,1
"female",1,NA,1,0.67
"female",1,"lpc",1,1
"female",1,"rpc",1,1
"female",1,NA,1,1
"female",1,NA,0,1
"female",1,"lpc",0,1
"female",1,"lpc",1,1
"female",1,"lpc",1,1
"female",1,"cpc",NA,1
"female",1,NA,1,0.67
"female",1,"cpc",1,0.33
"female",1,"lpc",0.67,1
"female",1,NA,1,1
"female",1,NA,1,1
"female",1,"cpc",1,0.33
"female",1,"cpc",1,0.33
"female",1,"ndp",1,1
"female",1,NA,1,1
"female",1,NA,1,1
"female",1,NA,1,1
"female",1,"cpc",1,1
"female",1,"cpc",0.67,1
"male",1,"lpc",1,1
"female",1,"lpc",1,0.67
"female",1,"cpc",1,0.33
NA,1,NA,1,1
"male",1,"ndp",0,1
"female",1,"cpc",1,0.67
"female",1,"lpc",1,1
"male",1,NA,1,1
"female",1,NA,1,1
"female",1,"cpc",0.33,0.67
"female",1,NA,1,0.67
"female",0,"cpc",1,0.33
"male",1,"cpc",1,1
"male",0,"lpc",1,0.67
"female",1,NA,0.33,0.33
"female",1,"lpc",1,1
"female",1,NA,1,0.33
"female",1,"lpc",0.67,1
"male",1,"lpc",1,1
"female",1,"lpc",1,0.67
"female",1,NA,1,1
"female",1,"lpc",1,1
"male",1,NA,1,0
"male",1,NA,1,0.33
"male",1,"cpc",0.67,1
"male",1,NA,1,1
NA,1,NA,NA,1
"female",1,NA,0.67,1
"female",1,"lpc",1,0.67
"male",1,"cpc",1,0.67
"female",1,NA,0,1
"female",1,"lpc",0.67,0.33
"female",1,NA,1,1
"female",1,"rpc",1,1
"female",1,"lpc",1,0.67
"female",1,NA,1,0.33
"male",1,"lpc",1,0.67
"female",1,"lpc",1,0.67
"female",1,"cpc",1,0.67
"female",1,"lpc",1,1
"female",1,"rpc",1,1
"female",1,"cpc",1,1
"female",1,"cpc",1,0.33
"female",1,"rpc",1,0.33
"male",1,NA,1,1
"female",1,NA,0.33,0.67
"female",1,"lpc",1,1
"female",1,"lpc",1,1
"female",1,"lpc",1,1
"female",1,"ndp",0,1
"female",1,"lpc",1,0.33
"female",1,NA,NA,1
"female",1,"ndp",1,1
"male",1,"lpc",0.33,0.67
"male",1,NA,0.67,1
"female",1,"ndp",0.67,1
"female",1,NA,1,1
"male",1,NA,1,1
"female",1,"lpc",1,1
"female",1,"lpc",1,1
"female",1,NA,1,1
"male",1,"cpc",0.67,0.33
"male",1,"lpc",1,0.67
"male",1,"lpc",1,1
"female",1,"bq",1,1
"male",1,NA,1,1
NA,1,NA,1,1
NA,1,"cpc",1,0.67
NA,1,"cpc",1,1
NA,1,NA,NA,0.67
"female",1,"bq",1,0.67
"male",1,NA,0.67,0.67
"female",1,"cpc",0,0.67
"male",1,NA,1,0.67
"male",1,"lpc",0.67,0.67
"female",1,"bq",0.67,1
"female",1,NA,1,1
"female",1,NA,NA,1
NA,1,NA,1,1
"female",1,NA,0.33,1
"male",1,NA,1,1
"female",1,NA,0.67,1
"female",1,NA,0.67,0.67
NA,1,NA,0,0.33
NA,1,"bq",0,1
NA,1,"bq",1,1
"female",0,"cpc",1,1
"male",1,NA,1,1
NA,1,NA,1,0.33
"male",1,"cpc",1,1
"female",1,NA,1,1
"female",1,"cpc",1,0.67
"male",1,NA,1,NA
"male",1,"bq",0.67,1
NA,1,NA,0.67,1
"male",1,"bq",1,0.33
"female",1,NA,1,0.67
"female",1,NA,1,0.67
"male",1,"bq",0.67,0.33
"female",1,NA,NA,0
"female",1,"bq",1,0.33
"female",1,NA,1,0.67
"female",1,"bq",1,0.67
"male",1,"bq",0,1
"male",1,"cpc",1,0.33
NA,1,NA,1,0.67
"female",1,"bq",0,1
"female",0,"bq",1,1
"female",1,"cpc",1,0
"male",1,"bq",0.67,1
NA,1,NA,1,NA
"male",1,NA,1,0.67
"male",1,"bq",1,0.67
"male",0,NA,1,0.33
"male",1,NA,0.67,1
NA,1,"bq",1,0.67
NA,1,NA,1,NA
"female",1,"bq",1,1
"male",1,NA,0.33,1
"male",1,"lpc",1,1
"male",1,"bq",1,1
NA,1,"bq",1,0.67
"male",1,"bq",1,1
"male",1,"lpc",1,1
"male",1,"cpc",0.67,0.67
"male",1,"bq",1,0.67
"female",1,NA,0,0.33
"female",1,"bq",1,0.67
"female",1,"bq",1,0.67
"female",0,"lpc",1,0.67
NA,1,NA,1,1
"male",0,"bq",1,0.67
"female",1,"bq",1,0.33
"male",1,"bq",0.67,0.67
"male",1,"bq",1,1
"female",1,NA,1,1
"female",1,"lpc",1,0.67
"female",1,NA,0.67,1
"male",1,"cpc",1,1
"male",1,NA,1,1
"male",1,NA,0.67,0.67
"female",1,NA,1,1
"male",1,"bq",1,0.67
"female",1,NA,0,1
"male",1,NA,0.67,1
"female",1,NA,0.33,0.33
"male",1,NA,1,0.33
"male",1,"cpc",NA,0.67
"male",1,NA,1,1
"male",1,NA,1,0.67
"male",1,"lpc",0,1
"female",1,"bq",1,0.33
"female",1,"cpc",1,NA
"female",1,"bq",1,0
"female",1,"cpc",1,1
"male",1,"cpc",1,0.33
"male",1,NA,1,1
"female",0,NA,NA,1
"female",1,"bq",0,1
"male",1,"bq",1,1
"female",1,"cpc",0.67,0.33
NA,1,"lpc",1,0.33
"male",1,"bq",1,0.67
NA,1,"cpc",1,0.67
"male",0,"cpc",1,0
"female",1,"bq",0.67,1
"female",0,NA,0,NA
"female",1,NA,1,1
NA,1,"bq",1,0.67
"male",1,"bq",1,0.67
"female",1,"bq",1,1
NA,1,NA,0.67,1
NA,1,NA,0.67,1
"female",1,"bq",0.67,1
"female",1,NA,1,1
"male",1,NA,1,1
"male",1,"lpc",1,1
"male",1,NA,1,0.33
"female",1,"lpc",0,0.33
"female",1,NA,0.67,1
"male",1,"bq",1,1
"male",1,NA,1,1
"male",1,"cpc",0.67,0.33
NA,1,"cpc",1,0.67
"female",1,NA,0.67,1
"female",1,"lpc",1,1
NA,1,NA,0,1
"male",1,"bq",1,0.67
"female",1,"bq",0.67,1
"female",1,NA,1,1
"female",1,"bq",1,1
"female",1,NA,1,1
"female",1,NA,1,1
"female",1,NA,0.67,0.67
"male",1,"lpc",1,1
"male",0,NA,0.67,0.33
"female",1,"lpc",1,0.33
"female",1,NA,1,1
"male",1,"bq",1,0
"female",1,"bq",1,0.33
"female",1,"bq",1,0.67
"male",1,NA,1,1
"female",1,"cpc",1,1
"male",1,"cpc",1,1
"male",1,NA,1,0.67
"female",1,NA,0.33,0.67
"female",0,"lpc",1,0.67
"female",1,"lpc",1,1
"female",1,"cpc",1,0
"male",1,NA,0.67,1
"male",1,"lpc",1,0.33
"female",1,NA,0.67,1
"male",1,"bq",1,1
"male",1,"bq",0.67,1
NA,1,"lpc",1,1
NA,1,NA,0.67,1
"female",1,NA,1,0.67
"male",1,NA,1,0.67
"female",1,"bq",1,0
"female",1,"bq",1,1
"female",1,"bq",1,1
"male",1,"cpc",1,1
"male",1,"bq",1,1
"male",1,NA,1,0.67
NA,1,"bq",1,0.33
NA,0,NA,0,0.67
NA,1,NA,0.67,1
"female",1,"lpc",1,0.67
NA,1,NA,0.67,0.67
"male",1,"bq",1,0.33
NA,1,NA,1,1
"female",1,"bq",1,1
"male",1,"cpc",1,0.33
"male",0,NA,1,1
"male",1,"lpc",1,0.33
"female",1,"bq",1,1
"male",1,"lpc",1,0.67
NA,1,"bq",1,1
"male",1,NA,1,0.67
"male",1,NA,1,1
"male",0,NA,1,1
"male",1,"bq",1,1
"male",1,"cpc",1,0.33
"male",1,NA,1,1
NA,1,NA,1,0.33
"male",1,"cpc",1,0
"male",1,"bq",1,1
NA,1,NA,0.67,1
"male",1,"lpc",1,0.33
"male",1,"bq",0.67,1
"male",1,NA,0.67,0.33
NA,1,NA,1,1
NA,1,"bq",1,0.67
NA,1,NA,1,0.33
NA,1,NA,0.67,1
NA,1,"bq",1,0.67
"male",1,NA,1,0.33
"female",1,"lpc",1,0.67
"female",1,NA,1,1
NA,1,NA,1,1
"female",1,NA,0.67,1
"male",1,"bq",1,0.67
"male",1,NA,1,1
"male",1,"bq",0.67,1
"female",1,"ndp",0.67,1
"female",1,"lpc",1,1
"male",1,"cpc",0.67,1
"female",1,"lpc",1,1
NA,1,"lpc",1,0.67
"female",1,"lpc",0.67,0
NA,1,NA,1,1
NA,1,"bq",0.67,0.67
"female",1,"bq",1,0.67
"male",1,"ndp",0.33,1
"male",1,"bq",1,1
"female",1,NA,1,1
"female",1,NA,1,0.67
"female",1,NA,0.67,0.67
"female",1,NA,1,0.67
"female",1,NA,1,0.33
"female",1,NA,1,0.33
"female",1,NA,0.67,NA
"female",1,"bq",1,0.67
"male",1,NA,0.33,1
NA,1,NA,1,0.67
"female",1,NA,1,1
"male",1,"bq",1,1
"female",1,NA,1,1
NA,1,NA,1,0.67
"male",1,NA,0.67,1
"female",1,"cpc",0,1
"male",1,NA,1,1
"male",1,NA,0,1
"female",1,"lpc",1,0.33
"female",1,"bq",1,0.67
"male",1,NA,0,1
"female",1,"bq",1,0.33
"male",1,"lpc",1,1
"female",1,"bq",0.67,1
"female",1,"lpc",1,0.67
"male",1,"lpc",1,0.67
NA,1,NA,0.67,1
"female",1,"bq",1,0.67
"female",1,"lpc",1,1
"female",0,"bq",1,NA
"male",1,NA,1,1
NA,1,NA,0,1
NA,1,NA,1,1
"female",1,"bq",1,1
"female",0,"lpc",0.33,1
"female",1,"lpc",0.67,0.33
"male",1,"bq",1,1
"male",0,NA,1,1
"male",1,"cpc",1,1
"female",1,NA,1,1
"male",1,NA,0,1
"male",1,"lpc",1,0.33
"female",1,"lpc",1,0.33
"female",1,"cpc",1,0.67
"male",1,NA,1,1
"male",1,NA,1,1
NA,1,"cpc",1,NA
"female",1,"bq",1,1
"female",0,"lpc",1,0.67
"male",1,"bq",1,1
"female",1,"bq",0.33,1
"female",1,"cpc",1,1
"male",1,"bq",1,1
"male",1,NA,1,1
"male",0,NA,1,1
NA,1,NA,1,1
"male",1,"lpc",1,1
"male",1,NA,0.67,1
"male",1,NA,NA,1
"male",1,NA,1,0.67
"male",0,NA,1,0.67
"male",1,"bq",1,0.67
"male",1,NA,0,0.33
"female",1,NA,1,0.33
NA,1,NA,1,0.33
"male",1,"bq",0.67,1
"male",1,"cpc",1,0.67
"male",1,NA,1,0.67
"male",1,"lpc",1,1
NA,1,"bq",1,1
"male",1,NA,1,0.67
NA,1,NA,0.67,0.33
"male",1,"bq",1,1
"female",1,"bq",0.67,1
"male",1,"cpc",1,0.67
"female",1,"cpc",1,0.33
NA,1,NA,1,0.33
"female",1,"lpc",0.67,1
"female",1,"ndp",1,1
"male",1,"cpc",1,0.33
"male",1,"bq",1,NA
"female",1,NA,0.67,1
"male",1,NA,1,0.67
"male",1,NA,1,0.67
"female",1,NA,1,0.67
"female",1,"lpc",1,1
NA,1,NA,1,0.67
NA,1,NA,0.67,1
NA,1,NA,1,1
"male",1,NA,1,1
"female",1,"bq",1,1
"male",1,"bq",1,1
"female",1,NA,1,0.67
"female",1,NA,1,0.67
"male",1,"bq",1,1
"male",1,NA,1,1
"female",1,NA,0.67,1
"male",1,NA,1,0.67
"male",0,"bq",1,1
"female",0,"cpc",1,0
"male",1,NA,0.67,0.67
"male",1,NA,1,0.67
"male",1,NA,1,1
"female",1,NA,1,0.67
NA,1,"bq",1,0.67
"female",1,NA,0,0
"male",1,"bq",1,1
NA,1,"lpc",1,0.67
"female",1,"bq",0.67,1
"female",1,NA,1,1
"male",1,"lpc",1,1
"female",1,"lpc",1,0.33
"female",1,NA,1,1
"female",1,"bq",1,1
NA,1,"bq",1,1
"male",1,NA,1,1
"male",1,NA,1,0.33
NA,1,"bq",1,1
"male",1,NA,1,1
"male",1,"bq",1,0.33
NA,1,"bq",1,1
"male",1,NA,1,1
"female",1,NA,1,1
NA,1,NA,0.67,1
"male",1,NA,1,1
"male",1,NA,1,1
"female",1,"lpc",1,1
NA,1,"lpc",1,1
"female",1,"lpc",1,0.67
"male",1,"bq",1,1
"male",1,"bq",1,1
"male",1,"bq",1,0.67
"male",1,"bq",0.67,1
"female",1,"lpc",1,1
"female",1,"bq",1,1
NA,1,"bq",1,1
"male",0,"bq",1,1
"male",0,NA,1,1
"male",1,NA,1,1
"male",1,NA,0,1
"female",0,NA,1,1
"male",1,"lpc",0.67,1
NA,1,NA,0.67,1
"male",1,"lpc",1,1
"male",1,"bq",1,1
"female",1,"lpc",0.67,1
NA,1,NA,1,0.67
"male",1,"bq",1,0.33
"male",1,"lpc",1,1
NA,1,NA,1,0.67
"male",1,"bq",1,1
"male",1,NA,1,NA
NA,1,NA,1,1
NA,1,"bq",1,1
NA,1,NA,1,1
"female",0,NA,1,1
NA,1,NA,1,1
"male",1,"bq",1,0.67
"female",1,"bq",0.67,1
NA,1,"bq",1,0.33
"male",1,"cpc",1,1
"female",1,"lpc",0.67,1
NA,1,"bq",1,0.67
"female",1,"bq",1,1
"male",1,"lpc",0.67,0.33
"male",0,"lpc",0.67,0.67
"male",1,"bq",1,1
NA,1,"cpc",1,0
NA,1,"lpc",1,1
NA,1,NA,1,1
NA,1,"bq",1,1
"female",1,"cpc",1,0.67
"male",1,"bq",1,1
"male",1,NA,0.67,1
"male",1,"bq",1,1
"male",1,"bq",1,0.67
"male",1,NA,0.33,1
NA,1,"bq",1,1
"male",1,NA,1,1
"male",1,"bq",1,1
"male",1,NA,1,1
"male",0,"lpc",1,1
"female",1,"bq",1,0.67
NA,1,"cpc",1,0.33
"female",1,NA,1,1
"male",1,"lpc",0.67,1
"male",1,NA,1,1
"female",1,NA,0.33,1
"female",1,NA,1,1
"male",1,NA,1,1
"male",1,"lpc",1,0.33
"female",1,"lpc",1,1
"male",1,"bq",1,0.67
NA,1,NA,0.67,1
NA,1,"bq",1,0.33
"male",1,NA,1,1
"female",1,NA,0,0.67
"male",1,"bq",1,0.67
"female",1,"bq",1,1
NA,1,NA,1,1
"female",1,"lpc",1,1
"female",1,"bq",1,1
"female",1,NA,1,1
"male",1,"cpc",1,0.67
"female",1,"bq",1,0.33
"male",1,NA,1,1
"female",1,NA,1,1
"male",1,NA,0.67,0.33
"male",1,"bq",1,0.67
NA,1,NA,0.67,1
NA,1,NA,1,NA
"male",1,NA,1,1
"female",1,"bq",1,1
"male",1,NA,0.67,1
"female",1,"lpc",1,1
"female",1,NA,1,1
"female",1,"bq",1,1
"male",1,NA,1,1
"male",1,"bq",1,1
"male",1,"lpc",1,0.67
"female",1,"bq",1,1
"female",1,NA,0,1
"male",1,NA,1,0.33
NA,1,"bq",1,1
"female",1,"lpc",0.67,0.67
"male",1,"lpc",1,1
"male",0,NA,1,1
"female",1,"lpc",1,1
"male",1,"rpc",1,1
"female",0,"rpc",0.33,0.67
"female",0,"lpc",0.67,1
"female",0,"cpc",1,1
"female",1,"lpc",1,1
"female",1,"cpc",0,1
"female",1,NA,0,0.67
"male",1,"rpc",1,1
"female",1,NA,0,1
"female",1,"cpc",1,1
"female",1,NA,1,1
"female",1,"cpc",1,0.67
"female",1,NA,0,1
"male",1,"lpc",1,1
"female",0,"lpc",1,1
"female",1,"lpc",1,1
"female",1,NA,0,1
NA,1,NA,1,1
"male",1,NA,0,0.33
"male",1,NA,0,1
"female",1,"lpc",0,0.67
"male",1,"rpc",1,0.67
"female",1,"lpc",1,0.67
NA,1,NA,0.33,NA
"female",1,NA,1,0.67
"male",0,"cpc",1,1
"male",1,NA,1,0.67
"male",1,NA,1,0.67
"male",1,"rpc",1,1
"female",1,"lpc",1,0.67
"female",1,"cpc",0,0.33
NA,0,NA,1,1
"male",1,"cpc",1,0.67
"female",1,NA,1,1
"male",1,NA,1,1
"male",1,NA,1,0.33
"male",0,NA,1,1
"female",1,"cpc",0.33,0.67
"female",1,NA,1,0.33
"female",1,"cpc",1,0.33
"female",0,NA,1,1
"female",1,"lpc",1,1
"female",1,"cpc",1,0.33
"female",1,"cpc",1,0.67
"male",1,"lpc",1,0.33
"female",1,NA,1,1
"female",1,"lpc",1,1
"female",1,"lpc",1,1
"female",1,"cpc",1,0.33
"female",1,NA,0,0.33
"male",1,"cpc",1,1
"female",1,"lpc",1,1
"female",0,"cpc",1,0.33
"female",1,"cpc",1,1
"male",0,"cpc",1,1
"female",1,"lpc",0.33,1
"female",1,"lpc",1,1
"female",1,NA,1,1
"male",1,NA,0.67,1
"male",1,"lpc",1,1
"female",1,"cpc",1,0.67
"female",0,"cpc",1,0.33
"male",0,"lpc",1,1
"female",1,NA,0,1
"male",1,"cpc",1,0
"male",1,"lpc",1,0.33
"female",1,NA,1,0.33
"male",0,"lpc",1,0.67
"female",1,"lpc",1,0.67
"female",0,NA,1,0.67
"female",1,"rpc",1,1
"female",1,"cpc",1,1
"male",1,"rpc",1,1
"female",1,NA,1,0.33
"female",1,NA,1,0.33
"female",1,NA,0.67,1
"male",0,"lpc",1,1
"male",1,"rpc",1,1
"female",1,"rpc",1,0.67
"female",1,NA,1,0.67
"male",1,"cpc",1,0.33
"female",1,"lpc",1,0.67
"female",1,"lpc",1,1
"female",0,NA,1,0.33
"female",0,"cpc",0.67,0.67
"female",1,"ndp",0.67,1
"female",1,"cpc",1,0.33
"male",1,NA,NA,0
"male",0,"lpc",1,0.67
"female",0,NA,1,0.67
"female",1,NA,1,1
"male",1,"lpc",1,1
"female",0,"cpc",1,1
"male",1,"lpc",0,1
"female",1,"rpc",1,1
"female",1,"lpc",1,1
"female",1,NA,0.67,0.67
